modality,label,url,email_subject,email_body,source_name,domain,_sig,built_at_utc,url_canon,_gk,text,_group_key,_strata,score,pred
url,ham,http://destination-munich.com/,,,majestic_million,destination-munich.com,05349e77a8ddfe3f2de9b9438d3188e11c4c3116,2025-11-05T09:45:22+00:00,http://destination-munich.com/,url:destination-munich.com,http://destination-munich.com/,url:destination-munich.com,url,0.0002625841933124769,1
url,ham,http://download.hilti.biz/,,,umbrella_top1m,hilti.biz,7257c84b6d94f790e96f0e27b1e0e576f36865ee,2025-11-05T09:45:22+00:00,http://download.hilti.biz/,url:hilti.biz,http://download.hilti.biz/,url:hilti.biz,url,6.769762710022056e-05,1
url,ham,http://869789182725854870-a-gnivo-org-s-sites.googlegroups.com/,,,umbrella_top1m,googlegroups.com,0c888ff025b693573d6f70c88c79df8837d76b0c,2025-11-05T09:45:22+00:00,http://869789182725854870-a-gnivo-org-s-sites.googlegroups.com/,url:googlegroups.com,http://869789182725854870-a-gnivo-org-s-sites.googlegroups.com/,url:googlegroups.com,url,3.2195797372320114e-05,1
url,ham,http://www.ops.konicaminolta.eu/,,,umbrella_top1m,konicaminolta.eu,535c1937b153b0b22b4f7f0503d399519b3cef48,2025-11-05T09:45:22+00:00,http://www.ops.konicaminolta.eu/,url:konicaminolta.eu,http://www.ops.konicaminolta.eu/,url:konicaminolta.eu,url,3.228659465638233e-05,1
url,ham,http://taya365-download-app.com/,,,majestic_million,taya365-download-app.com,5c98761e2dd82a227362c4be20be31652698a569,2025-11-05T09:45:22+00:00,http://taya365-download-app.com/,url:taya365-download-app.com,http://taya365-download-app.com/,url:taya365-download-app.com,url,0.00024438685080943324,1
url,ham,http://sci.bban.top/,,,umbrella_top1m,bban.top,d2815168389c54936c28a8589c7b4fd2fec5ec40,2025-11-05T09:45:22+00:00,http://sci.bban.top/,url:bban.top,http://sci.bban.top/,url:bban.top,url,0.0008485546826518823,1
url,ham,http://uaprom-static.c.evo.dev/,,,umbrella_top1m,evo.dev,816234f4fc00aecd59d953f4f8dc3fae9efafcef,2025-11-05T09:45:22+00:00,http://uaprom-static.c.evo.dev/,url:evo.dev,http://uaprom-static.c.evo.dev/,url:evo.dev,url,0.0001764752147693217,1
url,ham,http://www.ibit.global/,,,umbrella_top1m,ibit.global,709475e61b86cec2693eb617c1a8e3234cc2d02c,2025-11-05T09:45:22+00:00,http://www.ibit.global/,url:ibit.global,http://www.ibit.global/,url:ibit.global,url,7.16059164032271e-05,1
url,ham,http://vektor-ap-southeast-1.emodo.io/,,,umbrella_top1m,emodo.io,13570a54e5a3d73274ac65cc58cecc16c41a9be3,2025-11-05T09:45:22+00:00,http://vektor-ap-southeast-1.emodo.io/,url:emodo.io,http://vektor-ap-southeast-1.emodo.io/,url:emodo.io,url,6.507780253379994e-05,1
url,ham,http://cf-downloads.crowdin.com/,,,umbrella_top1m,crowdin.com,73d4f5b3df6e32451dfad0446d5a9b306261094b,2025-11-05T09:45:22+00:00,http://cf-downloads.crowdin.com/,url:crowdin.com,http://cf-downloads.crowdin.com/,url:crowdin.com,url,0.0001575473362637777,1
