iter	Passed	Remaining
0	623	1869993
1	864	1295513
2	1086	1085471
3	1316	986072
4	1552	930152
5	1781	889011
6	2018	863184
7	2274	850791
8	2496	829604
9	2724	814719
10	2942	799638
11	3156	786037
12	3383	777474
13	3597	767275
14	3820	760368
15	4046	754718
16	4272	749638
17	4490	743972
18	4708	738773
19	4932	734947
20	5149	730436
21	5372	727196
22	5586	723068
23	5810	720455
24	6039	718683
25	6272	717480
26	6489	714612
27	6713	712566
28	6934	710432
29	7152	708072
30	7367	705595
31	7587	703768
32	7812	702406
33	8035	701000
34	8258	699621
35	8477	697951
36	8692	696084
37	8918	695139
38	9141	694014
39	9359	692574
40	9578	691289
41	9800	690205
42	10016	688834
43	10239	687931
44	10463	687114
45	10682	685984
46	10898	684778
47	11119	683840
48	11340	682999
49	11551	681527
50	11770	680624
51	11992	679883
52	12209	678918
53	12435	678435
54	12658	677798
55	12877	676978
56	13091	675910
57	13311	675225
58	13529	674423
59	13742	673390
60	13961	672678
61	14174	671697
62	14394	671050
63	14608	670154
64	14832	669749
65	15047	668948
66	15272	668587
67	15504	668526
68	15728	668113
69	15948	667554
70	16181	667528
71	16411	667389
72	16642	667286
73	16893	667980
74	17126	667919
75	17366	668169
76	17594	667899
77	17825	667781
78	18056	667631
79	18294	667758
80	18521	667458
81	18748	667184
82	18977	666960
83	19217	667130
84	19450	667044
85	19675	666680
86	19911	666702
87	20136	666329
88	20369	666250
89	20599	666053
90	20822	665624
91	21049	665363
92	21278	665133
93	21519	665282
94	21742	664869
95	21984	665034
96	22207	664632
97	22451	664852
98	22668	664268
99	22895	663957
100	23125	663772
101	23346	663315
102	23588	663463
103	23813	663105
104	24056	663265
105	24287	663096
106	24549	663756
107	24765	663156
108	24993	662913
109	25221	662634
110	25445	662271
111	25688	662407
112	25911	662016
113	26156	662174
114	26385	661944
115	26628	662032
116	26849	661591
117	27075	661280
118	27299	660930
119	27528	660685
120	27763	660581
121	27994	660403
122	28234	660404
123	28464	660184
124	28694	659980
125	28912	659484
126	29136	659120
127	29375	659104
128	29600	658773
129	29832	658617
130	30069	658543
131	30301	658367
132	30537	658280
133	30766	658033
134	30989	657666
135	31220	657473
136	31451	657265
137	31685	657129
138	31926	657126
139	32161	657021
140	32394	656855
141	32629	656726
142	32858	656487
143	33088	656248
144	33309	655853
145	33535	655552
146	33770	655417
147	34008	655349
148	34238	655120
149	34472	654976
150	34700	654718
151	34932	654522
152	35170	654443
153	35396	654143
154	35637	654113
155	35861	653774
156	36103	653769
157	36333	653538
158	36578	653577
159	36822	653593
160	37055	653417
161	37293	653318
162	37520	653041
163	37759	652961
164	37982	652609
165	38227	652628
166	38457	652389
167	38720	652724
168	38952	652509
169	39190	652406
170	39414	652067
171	39645	651850
172	39876	651628
173	40097	651230
174	40345	651291
175	40564	650871
176	40798	650699
177	41027	650454
178	41266	650356
179	41492	650050
180	41729	649925
181	41957	649655
182	42190	649453
183	42425	649291
184	42651	648995
185	42900	649039
186	43135	648883
187	43366	648649
188	43595	648394
189	43825	648159
190	44068	648110
191	44303	647945
192	44544	647858
193	44777	647655
194	45007	647409
195	45238	647188
196	45461	646852
197	45683	646496
198	45910	646202
199	46130	645821
200	46354	645505
201	46571	645089
202	46798	644802
203	47010	644315
204	47229	643932
205	47458	643691
206	47680	643338
207	47903	643017
208	48121	642611
209	48348	642339
210	48566	641953
211	48793	641686
212	49018	641387
213	49240	641045
214	49475	640876
215	49689	640442
216	49927	640312
217	50144	639911
218	50371	639645
219	50589	639262
220	50817	639012
221	51036	638641
222	51250	638222
223	51482	638013
224	51712	637784
225	51936	637486
226	52154	637111
227	52378	636814
228	52599	636481
229	52815	636080
230	53053	635948
231	53274	635618
232	53502	635375
233	53728	635100
234	53957	634859
235	54173	634472
236	54398	634188
237	54617	633839
238	54837	633500
239	55063	633232
240	55285	632914
241	55513	632668
242	55722	632215
243	55951	631974
244	56176	631704
245	56419	631627
246	56653	631444
247	56883	631224
248	57123	631109
249	57348	630834
250	57585	630685
251	57813	630444
252	58057	630369
253	58289	630164
254	58524	630002
255	58756	629800
256	58990	629617
257	59247	629673
258	59485	629530
259	59725	629416
260	59956	629199
261	60183	628940
262	60431	628901
263	60654	628601
264	60898	628521
265	61130	628313
266	61381	628295
267	61628	628244
268	61866	628097
269	62107	627973
270	62351	627884
271	62590	627748
272	62828	627591
273	63069	627476
274	63303	627275
275	63546	627179
276	63774	626919
277	64019	626839
278	64250	626612
279	64505	626625
280	64731	626353
281	64958	626086
282	65207	626034
283	65433	625763
284	65677	625659
285	65904	625406
286	66150	625316
287	66377	625054
288	66626	624998
289	66852	624723
290	67090	624565
291	67324	624364
292	67561	624196
293	67825	624271
294	68057	624054
295	68289	623836
296	68525	623655
297	68767	623519
